# Frequency, Real(S11), Imag(S11), Amp(S11), Phase(S11), Real(E0), Imag(E0), Amp(E0), Phase(E0), Real(E1), Imag(E1), Amp(E1), Phase(E1), Real(E2), Imag(E2), Amp(E2), Phase(E2), Real(I0), Imag(I0), Amp(I0), Phase(I0), Real(I1), Imag(I1), Amp(I1), Phase(I1), Real(I2), Imag(I2), Amp(I2), Phase(I2), Real(S21), Imag(S21), Amp(S21), Phase(S21), Real(ZL1), Imag(ZL1), Amp(ZL1), Phase(ZL1), Real(ZL2), Imag(ZL2), Amp(ZL2), Phase(ZL2), Real(J4avg), Imag(J4avg), Amp(J4avg), Phase(J4avg), Real(Icavg), Imag(Icavg), Amp(Icavg), Phase(Icavg), Unwrapped Phase(S21) 
8.408450704225352287e+09,-6.023021820092159251e-01,1.214693726233438340e-02,6.024246563163876411e-01,3.121427873864064395e+00,2.081317848335142995e-01,1.941325185146003207e+01,1.941436752222627504e+01,1.560075618456730595e+00,1.203482983872674467e-01,1.033525400474118783e+01,1.033595467557029579e+01,1.559152407902516302e+00,5.031683489656323394e-01,4.798667404830840155e+01,4.798931198304467927e+01,1.560311126070710319e+00,6.808846213399244533e-09,-5.185721524167487960e-06,5.185725994169064621e-06,-1.569483328734948335e+00,-1.755863308631272093e-08,-1.675489541553240158e-06,1.675581543658841667e-06,-1.581275646364329379e+00,1.074978687291531770e-08,6.861211065720727059e-06,6.861219486817658070e-06,1.569229580345307351e+00,-3.404423106699138167e-07,2.592860762083745284e-04,2.592862997084533242e-04,1.572109324854844781e+00,2.481175909844774452e+01,9.462403853793529551e-01,2.482979581926374379e+01,3.811829866582221171e-02,2.481469582520824346e+01,9.461597455418612190e-01,2.483272734038070340e+01,3.811054691235245262e-02,2.920128060540177626e-11,8.856689104412648680e-13,2.921470859711484494e-11,3.032050195327848363e-02,1.000024359002466223e+00,-6.415911192004129446e-04,1.000024564817013628e+00,-6.415754030332212945e-04,1.572109324854844781e+00
8.549295774647887230e+09,-6.022969844776256965e-01,1.235251255430437449e-02,6.024236400385077905e-01,3.121086522216573567e+00,2.159600654087478755e-01,1.974053420477642007e+01,1.974171546344945227e+01,1.559856833047098323e+00,1.250653267384592426e-01,1.051015317978093400e+01,1.051089725943563202e+01,1.558897411325326665e+00,5.212181123867797305e-01,4.879368074494189500e+01,4.879646451291316112e+01,1.560114650788313684e+00,7.024462660514966065e-09,-5.272799529703040766e-06,5.272804208721605749e-06,-1.569464120162474607e+00,-1.818530410377966917e-08,-1.703628776172342269e-06,1.703725832488261546e-06,-1.581470373690353037e+00,1.116084144326592237e-08,6.976428305875384306e-06,6.976437233387899256e-06,1.569196535120347846e+00,-3.512231330255855571e-07,2.636399764851520434e-04,2.636402104360802807e-04,1.572128533427318064e+00,2.481186785389797222e+01,9.622604159267449386e-01,2.483052016183622257e+01,3.876283811975630988e-02,2.481490705291404453e+01,9.621754847387409271e-01,2.483355378732966301e+01,3.875467795588261738e-02,2.920187483572537145e-11,9.001289734477505829e-13,2.921574448974748995e-11,3.081459864492944178e-02,1.000025174750705848e+00,-6.523429586244951965e-04,1.000025387520994569e+00,-6.523264439384335962e-04,1.572128533427318064e+00
8.690140845070423126e+09,-6.022916988535308436e-01,1.255813178142644281e-02,6.024226067983438071e-01,3.120745093493897393e+00,2.239565698963081886e-01,2.006792470327508582e+01,2.006917433382644589e+01,1.559636863301657961e+00,1.298914835867509276e-01,1.068505006901866672e+01,1.068583954469391095e+01,1.558640549800869302e+00,5.396231417815624543e-01,4.960085561030877699e+01,4.960379088749009924e+01,1.559917444831509403e+00,7.241389372505036081e-09,-5.359864458686352231e-06,5.359869350386181924e-06,-1.569445287972477843e+00,-1.882376492147099466e-08,-1.731794859602981336e-06,1.731897159150371914e-06,-1.581665410711107222e+00,1.158237554896764272e-08,7.091659318289328062e-06,7.091668776677547194e-06,1.569163089109526288e+00,-3.620694686254644689e-07,2.679932229343174981e-04,2.679934675193089725e-04,1.572147365617316161e+00,2.481197834436254723e+01,9.782841671600283062e-01,2.483125669942687352e+01,3.940748667245603382e-02,2.481512194143569872e+01,9.781947877606914643e-01,2.483439433550022457e+01,3.939890344698020880e-02,2.920300481842470115e-11,9.150646908218230649e-13,2.921733789744242377e-11,3.132435806081523139e-02,1.000026014820506459e+00,-6.631069305329106035e-04,1.000026234670163605e+00,-6.630895831897465559e-04,1.572147365617316161e+00
8.830985915492958069e+09,-6.022863250798595747e-01,1.276379482316390875e-02,6.024215565835024933e-01,3.120403587825072211e+00,2.321224552264488650e-01,2.039541053247849689e+01,2.039673139555833714e+01,1.559415705974154687e+00,1.348274107503854569e-01,1.085990324541253571e+01,1.086074016494324290e+01,1.558381806970416728e+00,5.583857297984364809e-01,5.040822573781070304e+01,5.041131833881478741e+01,1.559719505815501117e+00,7.459503942345826637e-09,-5.446919322488953893e-06,5.446924430346229160e-06,-1.569426837210553094e+00,-1.947407707767180715e-08,-1.759994071861500769e-06,1.760101807471844132e-06,-1.581860729058446768e+00,1.201457313532542962e-08,7.206913394350458686e-06,7.206923409030768559e-06,1.569129238355273293e+00,-3.729751971173964268e-07,2.723459661244481385e-04,2.723462215173118968e-04,1.572165816379240466e+00,2.481209056591179163e+01,9.943116352669899571e-01,2.483200543409726890e+01,4.005224348503714366e-02,2.481534049852523083e+01,9.942176471972538065e-01,2.483524899790104712e+01,4.004322223519906493e-02,2.920415485194738924e-11,9.300011410342860061e-13,2.921895896055927589e-11,3.183406497296631388e-02,1.000026868736577201e+00,-6.738717604066812384e-04,1.000027095782025643e+00,-6.738535528161583837e-04,1.572165816379240466e+00
8.971830985915493011e+09,-6.022808631007345870e-01,1.296950152711914307e-02,6.024204893819828932e-01,3.120062005391958770e+00,2.404588466917740031e-01,2.072297699995755593e+01,2.072437203385719684e+01,1.559193357989147044e+00,1.398740942784850727e-01,1.103471931538240369e+01,1.103560578905950784e+01,1.558121187580551181e+00,5.775081182949101111e-01,5.121581058224235505e+01,5.121906646184430656e+01,1.559520831252711348e+00,7.678741054275153770e-09,-5.533978876660506874e-06,5.533984204024155431e-06,-1.569408765277697793e+00,-2.013632826770638536e-08,-1.788220509997020513e-06,1.788333879366520542e-06,-1.582056390710973925e+00,1.245758721343176430e-08,7.322199386657527176e-06,7.322209983976630117e-06,1.569094983450389114e+00,-3.839370527140546861e-07,2.766989438330252709e-04,2.766992102012077190e-04,1.572183888312096656e+00,2.481220451444151465e+01,1.010342813750126911e+00,2.483276636759924827e+01,4.069710761072650035e-02,2.481556273202034291e+01,1.010244053366615713e+00,2.483611778749246213e+01,4.068763307733484769e-02,2.920593596644001105e-11,9.454975615948329432e-13,2.922123647819811368e-11,3.236216991193138076e-02,1.000027749670884702e+00,-6.846517302357376430e-04,1.000027984038349471e+00,-6.846326249353111961e-04,1.572183888312096656e+00
9.112676056338027954e+09,-6.022753128600113470e-01,1.317525170949510049e-02,6.024194051806707195e-01,3.119720346428425106e+00,2.489668706947132659e-01,2.105061330749293802e+01,2.105208552909431674e+01,1.558969818009108055e+00,1.450329475547604274e-01,1.120955185974670520e+01,1.121049006298240514e+01,1.557858712756651220e+00,5.969925018151032159e-01,5.202361887593998802e+01,5.202704413087757729e+01,1.559321417671341914e+00,7.899044744831329181e-09,-5.621065448717950505e-06,5.621070998811401972e-06,-1.569391070154966261e+00,-2.081060477313119504e-08,-1.816457944503549024e-06,1.816577150968568639e-06,-1.582252520649082062e+00,1.291156002829824128e-08,7.437523393221501647e-06,7.437534600464017022e-06,1.569060325928056443e+00,-3.949522372417413912e-07,2.810532724358975930e-04,2.810535499405701545e-04,1.572201583434827743e+00,2.481232018579601473e+01,1.026377693889393816e+00,2.483353950150831935e+01,4.134207801333444204e-02,2.481578864995377387e+01,1.026273993928130679e+00,2.483700071727236036e+01,4.133213462168117136e-02,2.920715178148089206e-11,9.604577533436591611e-13,2.922293952158851975e-11,3.287248885311656876e-02,1.000028632029580811e+00,-6.954191506914669720e-04,1.000028873826525944e+00,-6.953991279061439833e-04,1.572201583434827743e+00
9.253521126760562897e+09,-6.022696743021191956e-01,1.338104515906116988e-02,6.024183039662137640e-01,3.119378611213794006e+00,2.576477332082246496e-01,2.137831604546308739e+01,2.137986855184408697e+01,1.558745084797921843e+00,1.503056196820280743e-01,1.138447768575729135e+01,1.138546986104717895e+01,1.557594413501384167e+00,6.168409836522588119e-01,5.283164867946678100e+01,5.283524954980072152e+01,1.559121261333151764e+00,8.120373051053890854e-09,-5.708200775219006926e-06,5.708206551156795521e-06,-1.569373747615746550e+00,-2.149699391449266117e-08,-1.844686598505095465e-06,1.844811851504553603e-06,-1.582449266047767811e+00,1.337662086344127833e-08,7.552887373724099638e-06,7.552899219117560505e-06,1.569025268096993386e+00,-4.060186525526334240e-07,2.854100387609497381e-04,2.854103275578391899e-04,1.572218905974046566e+00,2.481243757569410846e+01,1.042416264735338771e+00,2.483432483714227601e+01,4.198715356714277647e-02,2.481601826049281811e+01,1.042307454504895592e+00,2.483789780023320404e+01,4.197672543319309890e-02,2.920772607839145520e-11,9.748142795378563024e-13,2.922398887130124888e-11,3.336283585968801563e-02,1.000029513580162011e+00,-7.061715597795394659e-04,1.000029762911908149e+00,-7.061506013699854999e-04,1.572218905974046566e+00
9.394366197183099747e+09,-6.022639473713579106e-01,1.358688164467683999e-02,6.024171857244414729e-01,3.119036800060329906e+00,2.665026999583826051e-01,2.170608969458249149e+01,2.170772566434229844e+01,1.558519158788531200e+00,1.556937789491391333e-01,1.155956398558333831e+01,1.156061244439925062e+01,1.557328313174312084e+00,6.370555720383880294e-01,5.363988855678748280e+01,5.364367142717252079e+01,1.558920358386269855e+00,8.342629436709957929e-09,-5.795397311898419591e-06,5.795403316614413334e-06,-1.569356801042804728e+00,-2.219554657161293825e-08,-1.872891348777124834e-06,1.873022863344655094e-06,-1.582646724624206191e+00,1.385291713490163533e-08,7.668288660675547601e-06,7.668301173451544625e-06,1.568989808720500312e+00,-4.171314718352182333e-07,2.897698655949210948e-04,2.897701658307208039e-04,1.572235852546987500e+00,2.481255667977829305e+01,1.058458513772285947e+00,2.483512237563139990e+01,4.263233308354958534e-02,2.481625157198498854e+01,1.058344419194275243e+00,2.483880904942278178e+01,4.262140401396290190e-02,2.920895714444121294e-11,9.897530375438953357e-13,2.922572135193810272e-11,3.387229740552414464e-02,1.000030422898368965e+00,-7.169399840884138272e-04,1.000030679891987795e+00,-7.169180505345151399e-04,1.572235852546987500e+00
9.535211267605634689e+09,-6.022581320125076632e-01,1.379276092707458663e-02,6.024160504412100492e-01,3.118694913293707405e+00,2.755330785000274507e-01,2.203394360532396945e+01,2.203566629988629799e+01,1.558292041463000155e+00,1.611988307383784846e-01,1.173484277482082128e+01,1.173594989818872136e+01,1.557060421198608990e+00,6.576382615818525679e-01,5.444832099523556224e+01,5.445229239695337498e+01,1.558718703960776830e+00,8.565639252842082129e-09,-5.882653950822907384e-06,5.882660186965431863e-06,-1.569340243661180523e+00,-2.290628109390131187e-08,-1.901067152698644376e-06,1.901205148526398092e-06,-1.582844913625505390e+00,1.434064184105732226e-08,7.783721103521550066e-06,7.783734314030454511e-06,1.568953939917923535e+00,-4.282819626419520740e-07,2.941326975411451337e-04,2.941330093482713679e-04,1.572252409928612149e+00,2.481267749353646579e+01,1.074504428127791122e+00,2.483593211788752697e+01,4.327761535989463337e-02,2.481648859291399134e+01,1.074384871192212154e+00,2.483973447792220313e+01,4.326616882841456679e-02,2.921092546084096248e-11,1.005344661000504415e-12,2.922822068081136388e-11,3.440315496854141203e-02,1.000031362403139612e+00,-7.277271312430414526e-04,1.000031627188189054e+00,-7.277041802343841908e-04,1.572252409928612149e+00
9.676056338028169632e+09,-6.022522281696306434e-01,1.399868276928118056e-02,6.024148981014328941e-01,3.118352951235670467e+00,2.847402188530508416e-01,2.236188798676902323e+01,2.236370075200071383e+01,1.558063733214495095e+00,1.668217784013831528e-01,1.191030261198089413e+01,1.191147085018084262e+01,1.556790732146490441e+00,6.785909874293952759e-01,5.525692655670346909e+01,5.526109316889362333e+01,1.558516293882420856e+00,8.789199788313444390e-09,-5.969957055091606806e-06,5.969963524986644989e-06,-1.569324089497867725e+00,-2.362920589203177626e-08,-1.929219940251463760e-06,1.929364640817009609e-06,-1.583043776619942555e+00,1.484000610371959911e-08,7.899176995343071413e-06,7.899190935123568923e-06,1.568917651503332955e+00,-4.394599894156494489e-07,2.984978527545806520e-04,2.984981762493325798e-04,1.572268564091925391e+00,2.481280001239780475e+01,1.090553994866864107e+00,2.483675406471160940e+01,4.392299919115760093e-02,2.481672933196352204e+01,1.090428794125694267e+00,2.484067409896513112e+01,4.391101835678617310e-02,2.921148078837498169e-11,1.019631707696548599e-12,2.922927058051467930e-11,3.489100470447997759e-02,1.000032283098397201e+00,-7.384796690921315281e-04,1.000032555765668407e+00,-7.384556952191291762e-04,1.572268564091925391e+00
9.816901408450704575e+09,-6.022462357864675209e-01,1.420464694899576698e-02,6.024137286897727206e-01,3.118010914183502624e+00,2.941254392025051678e-01,2.268993075576527829e+01,2.269183702293424432e+01,1.557834234948620278e+00,1.725633315460674555e-01,1.208589802127897883e+01,1.208712989440212127e+01,1.556519224155984649e+00,6.999157228368145800e-01,5.606568708575019144e+01,5.607005573758893746e+01,1.558313123559586399e+00,9.013043752726667803e-09,-6.057285495555489304e-06,6.057292201109716590e-06,-1.569308360426532323e+00,-2.436430293820084638e-08,-1.957363391269237010e-06,1.957515022864109095e-06,-1.583243195283619897e+00,1.535125918547404623e-08,8.014648886824728009e-06,8.014663588712843607e-06,1.568880929048976469e+00,-4.506521876362124497e-07,3.028642747777743382e-04,3.028646100554856940e-04,1.572284293163260571e+00,2.481292423169516326e+01,1.106607202298759640e+00,2.483758821681413664e+01,4.456848342260374962e-02,2.481697379795870617e+01,1.106476172673115599e+00,2.484162792590820246e+01,4.455595112016332016e-02,2.921354742271783149e-11,1.035273917135684667e-12,2.923188576029410452e-11,3.542332060344609984e-02,1.000033252087680014e+00,-7.492707274391956999e-04,1.000033532781618328e+00,-7.492456732505636428e-04,1.572284293163260571e+00
